[LOGGING],1,2,3,4
DATETIME[YYYY/MM/DD hh:mm:ss.s],STRING[20],STRING[2],LONG[DEC.0],SHORT[DEC.0]
TIME,Code model ,Judge,VaccumAct,VaccumSpec
2023/11/10 17:20:49.0,,OK,0,0
2023/11/10 17:21:16.0,,OK,0,0
2023/11/10 17:21:45.9,,OK,0,0
2023/11/10 17:22:08.6,,OK,0,0
2023/11/10 17:24:13.2,,OK,0,0
2023/11/10 17:24:38.0,,OK,0,0
2023/11/10 17:25:05.6,,OK,0,0
2023/11/10 17:25:33.6,,OK,0,0
2023/11/10 17:25:58.2,,OK,0,0
2023/11/10 17:26:22.0,,OK,0,0
2023/11/10 17:26:46.3,,OK,0,0
2023/11/10 17:27:09.5,,OK,0,0
2023/11/10 17:27:36.5,,OK,0,0
2023/11/10 17:28:00.9,,OK,0,0
2023/11/10 17:28:29.3,,OK,0,0
2023/11/10 17:29:01.5,,OK,0,0
2023/11/10 17:29:20.9,,OK,0,0
2023/11/10 17:29:46.9,,OK,0,0
2023/11/10 17:30:13.2,,NG,0,0
2023/11/10 17:30:45.1,,OK,0,0
2023/11/10 17:31:08.7,,NG,0,0
2023/11/10 17:31:34.6,,OK,0,0
2023/11/10 17:31:59.7,,OK,0,0
2023/11/10 17:32:25.9,,OK,0,0
2023/11/10 17:32:55.2,,OK,0,0
2023/11/10 17:33:25.7,,OK,0,0
2023/11/10 17:33:52.0,,OK,0,0
2023/11/10 17:34:20.7,,OK,0,0
2023/11/10 17:34:48.9,,OK,0,0
2023/11/10 17:35:13.9,,OK,0,0
2023/11/10 17:35:38.7,,OK,0,0
2023/11/10 17:36:03.8,,OK,0,0
2023/11/10 17:36:29.2,,OK,0,0
2023/11/10 17:37:02.8,,OK,0,0
2023/11/10 17:37:28.9,,OK,0,0
2023/11/10 17:37:51.6,,OK,0,0
2023/11/10 17:38:16.6,,OK,0,0
2023/11/10 17:38:46.1,,OK,0,0
2023/11/10 17:39:11.2,,OK,0,0
2023/11/10 17:39:41.6,,OK,0,0
2023/11/10 17:40:04.8,,OK,0,0
2023/11/10 17:40:27.4,,OK,0,0
2023/11/10 17:40:54.9,,OK,0,0
2023/11/10 17:41:27.5,,OK,0,0
2023/11/10 17:41:47.1,,NG,0,0
2023/11/10 17:42:14.2,,OK,0,0
2023/11/10 17:42:38.7,,OK,0,0
2023/11/10 17:43:14.4,,OK,0,0
2023/11/10 17:43:38.5,,OK,0,0
2023/11/10 17:44:04.0,,OK,0,0
2023/11/10 17:44:28.6,,OK,0,0
2023/11/10 17:44:58.8,,OK,0,0
2023/11/10 17:45:24.0,,OK,0,0
2023/11/10 17:45:56.2,,OK,0,0
2023/11/10 17:46:26.8,,OK,0,0
2023/11/10 17:46:46.5,,OK,0,0
2023/11/10 17:47:15.4,,OK,0,0
2023/11/10 17:47:37.9,,OK,0,0
2023/11/10 17:48:02.3,,OK,0,0
2023/11/10 17:48:29.7,,OK,0,0
2023/11/10 17:48:54.9,,OK,0,0
2023/11/10 17:50:05.0,,OK,0,0
2023/11/10 17:51:25.1,,OK,0,0
2023/11/10 17:51:54.1,,OK,0,0
2023/11/10 17:52:20.7,,OK,0,0
2023/11/10 17:52:49.2,,OK,0,0
2023/11/10 17:53:20.7,,OK,0,0
2023/11/10 17:53:40.1,,OK,0,0
2023/11/10 17:54:06.1,,OK,0,0
2023/11/10 17:54:31.7,,OK,0,0
2023/11/10 17:54:59.0,,NG,0,0
2023/11/10 17:55:27.7,,OK,0,0
2023/11/10 17:55:53.8,,OK,0,0
2023/11/10 17:56:22.6,,OK,0,0
2023/11/10 17:56:44.3,,OK,0,0
2023/11/10 17:57:10.3,,OK,0,0
2023/11/10 17:57:36.7,,OK,0,0
2023/11/10 17:58:08.5,,OK,0,0
2023/11/10 17:58:33.0,,OK,0,0
2023/11/10 17:59:22.7,,OK,0,0
2023/11/10 17:59:48.8,,OK,0,0
2023/11/10 18:00:08.6,,OK,0,0
2023/11/10 18:31:14.4,,OK,0,0
2023/11/10 18:31:41.0,,OK,0,0
2023/11/10 18:32:04.7,,OK,0,0
2023/11/10 18:32:33.4,,OK,0,0
2023/11/10 18:32:59.4,,OK,0,0
2023/11/10 18:33:27.4,,OK,0,0
2023/11/10 18:33:52.2,,OK,0,0
2023/11/10 18:34:20.3,,OK,0,0
2023/11/10 18:34:44.6,,OK,0,0
2023/11/10 18:35:12.5,,OK,0,0
2023/11/10 18:35:40.0,,OK,0,0
2023/11/10 18:36:06.0,,OK,0,0
2023/11/10 18:36:34.8,,OK,0,0
2023/11/10 18:37:02.1,,OK,0,0
2023/11/10 18:37:26.1,,NG,0,0
2023/11/10 18:37:52.8,,OK,0,0
2023/11/10 18:38:17.5,,OK,0,0
2023/11/10 18:38:54.7,,OK,0,0
2023/11/10 18:39:20.5,,OK,0,0
2023/11/10 18:39:56.3,,OK,0,0
2023/11/10 18:40:21.8,,OK,0,0
2023/11/10 18:40:45.4,,OK,0,0
2023/11/10 18:41:09.6,,OK,0,0
2023/11/10 18:41:38.2,,OK,0,0
2023/11/10 18:42:06.4,,OK,0,0
2023/11/10 18:42:29.9,,OK,0,0
2023/11/10 18:42:54.6,,OK,0,0
2023/11/10 18:43:19.5,,OK,0,0
2023/11/10 18:43:44.7,,OK,0,0
2023/11/10 18:44:13.4,,OK,0,0
2023/11/10 18:44:39.4,,OK,0,0
2023/11/10 18:45:23.0,,NG,0,0
2023/11/10 18:45:51.5,,OK,0,0
2023/11/10 18:46:18.0,,OK,0,0
2023/11/10 18:46:42.1,,OK,0,0
2023/11/10 18:47:10.8,,OK,0,0
2023/11/10 18:47:35.5,,OK,0,0
2023/11/10 18:48:03.6,,OK,0,0
2023/11/10 18:48:29.5,,OK,0,0
2023/11/10 18:48:54.7,,OK,0,0
2023/11/10 18:49:30.3,,NG,0,0
2023/11/10 18:49:50.0,,OK,0,0
2023/11/10 18:50:16.9,,OK,0,0
2023/11/10 18:50:41.9,,OK,0,0
2023/11/10 18:51:07.9,,OK,0,0
2023/11/10 18:51:34.9,,OK,0,0
2023/11/10 18:52:01.7,,OK,0,0
2023/11/10 18:52:29.5,,OK,0,0
2023/11/10 18:53:05.6,,OK,0,0
2023/11/10 18:53:30.3,,OK,0,0
2023/11/10 18:53:57.6,,OK,0,0
2023/11/10 18:54:17.0,,OK,0,0
2023/11/10 18:54:41.7,,OK,0,0
2023/11/10 18:55:05.8,,OK,0,0
2023/11/10 18:55:30.6,,OK,0,0
2023/11/10 18:56:02.6,,OK,0,0
2023/11/10 18:56:51.2,,OK,0,0
2023/11/10 18:57:23.6,,OK,0,0
2023/11/10 18:57:43.0,,OK,0,0
2023/11/10 18:58:13.1,,OK,0,0
2023/11/10 18:58:36.9,,OK,0,0
2023/11/10 18:59:11.4,,OK,0,0
2023/11/10 18:59:46.0,,OK,0,0
2023/11/10 19:00:11.5,,OK,0,0
2023/11/10 19:00:38.9,,OK,0,0
2023/11/10 19:01:04.4,,OK,0,0
2023/11/10 19:01:30.4,,NG,0,0
2023/11/10 19:02:00.2,,OK,0,0
2023/11/10 19:02:25.2,,OK,0,0
2023/11/10 19:02:51.4,,OK,0,0
2023/11/10 19:03:15.8,,OK,0,0
2023/11/10 19:04:08.6,,OK,0,0
2023/11/10 19:04:38.5,,OK,0,0
2023/11/10 19:05:04.4,,OK,0,0
2023/11/10 19:05:31.1,,OK,0,0
2023/11/10 19:05:54.7,,OK,0,0
2023/11/10 19:06:22.6,,OK,0,0
2023/11/10 19:06:46.3,,OK,0,0
2023/11/10 19:07:13.5,,OK,0,0
2023/11/10 19:07:38.3,,OK,0,0
2023/11/10 19:08:05.5,,OK,0,0
2023/11/10 19:08:31.2,,OK,0,0
2023/11/10 19:08:57.7,,OK,0,0
